Dataset Title,Dataset Name,Views,Visits,Resource downloads,Period Name
Reasons for leaving last job,reasons_for_leaving_last_job,264,135,0,all
The National Archives - ICT Contracts,national-archives-ict-contracts,264,26,25,all
Construction and Demolition Waste management,construction-and-demolition-waste-management,264,132,0,all
Modern workplaces consultation: government response on flexible working. Impact assessment,government-response-on-flexible-working-impact-assessment,264,150,47,all
"Rents, lettings and tenancies",england-rents-lettings-and-tenancies,263,26,522,all
Home Office Government Procurement Card (GPC) transactions £500 and above,government-procurement-card-transactions-home-office,263,43,171,all
Accidental dwelling fires,accidental_dwelling_fires,263,52,0,all
British Citizenship Statistics United Kingdom,british-citizenship-statistics-united-kingdom-2009,263,135,43,all
"Bathing water surveys, Guideline Standards 1994 to 2011",bathing-water-surveys-guideline-standards-1994-to-2011,263,46,0,all
Child Benefit,child_benefit,263,121,10,all
Personal Incomes from tax records,personal_incomes_from_tax_records,262,24,13,all
Local Environment Survey,local_environment_survey,262,166,0,all
Workforce Management Information - Cabinet Office,workforce-management-information-cabinet-office,262,13,24,all
NI 112 - Under 18 conception rate,ni_112_-_under_18_conception_rate,261,193,0,all
Migration Statistics Quarterly Report,migration_statistics_quarterly_report_,260,147,11,all
"Special advisers’ quarterly returns on gifts, hospitality and media meetings",special-advisers-quarterly-returns,260,28,91,all
UKCES Employer Skills Survey 2011,ukces-employer-skills-survey,260,57,52,all
2011 Census,2011_census,260,9,21,all
CCTV Camera Locations,cctv-camera-locations,260,148,35,all
"Projections of urban growth, by county:  1991-2016",urban_growth_projections,260,107,12,all
Cabinet Office Annual Report and Accounts 2011 - 2012,cabinet-office-total-departmental-spending,260,57,38,all
Lone Parent Claimants of Jobseekers Allowance,lone_parent_claimants_of_jobseekers_allowance,259,169,0,all
Air Emissions: Nitrogen Oxide (NOx),air_emissions_-_nitrogen_oxide_nox,259,138,0,all
Rural services data series 2010,soc_rss_2010,259,31,65,all
"Farm Business Income, Net Farm Income and Cash Income",farm_business_income_net_farm_income_and_cash_income,259,162,0,all
Payments to suppliers with a value over £500 from Hertfordshire County Council,local-authority-spending-over-500-hertfordshire,259,100,17,all
Home care user survey,home_care_user_survey,259,145,0,all
50k Sheet Data Files.,50k-sheet-data-files,258,59,0,all
Homelessness,homelessness,258,41,21,all
Northern Ireland Disability Living Allowance Summary Statistics,northern_ireland_disability_living_allowance_summary_statistics,258,190,0,all
Physically active adults,physically_active_adults,258,119,0,all
Capital expenditure in further education colleges: impact evaluation,impact-of-capital-expenditure-in-further-education-colleges-evaluation,258,144,11,all
Arbuscular mycorrhizal fungal diversity: Farm Locations,arbuscular-mycorrhizal-fungal-diversity-farm-locations,258,54,0,all
Secondary School (Key Stage 4) Performance Tables in England 2010/11,key-stage-4-performance-tables-england-2010-11,258,64,43,all
Best Value Performance Indicators for the Fire and Rescue Service,best_value_performance_indicators_for_the_fire_and_rescue_service,257,147,0,all
Traffic Count data Cambridgeshire,traffic-count-data-cambridgeshire,257,34,30,all
UK food hygiene rating data (Yorkshire and Humberside) - Food Standards Agency,uk-food-hygiene-rating-data-yorkshire-and-humberside-food-standards-agency,257,73,69,all
Adult participation in learning,adult_participation_in_learning,257,45,0,all
Individual Scale Point results for the Early Years Foundation Stage Profile (EYFSP),individual_scale_point_results_for_the_early_years_foundation_stage_profile_eyfsp,257,182,0,all
Age by sex and marital status,age_by_sex_and_marital_status,257,117,0,all
Scottish Household Survey,scottish_household_survey,257,184,0,all
NI 181 Time taken to process Housing Benefit/Council Tax Benefit new claims and change events,ni_181_time_taken_to_process_housing_benefit-council_tax_benefit_new_claims_and_change_events,257,198,0,all
NI 015 - Serious violent crime rate,ni-015-serious-violent-crime-rate,257,97,0,all
Labour Productivity,labour_productivity,257,77,14,all
Green Deal/ECO statistics,green_deal-eco_statistics,256,90,39,all
Department for Communities and Local Government Revenue Expenditure Tables,department-for-communities-and-local-government-local-authority-revenue-expenditure-tables,256,136,11,all
5 Day Payment Performance for NICE,5-day-payment-performance-national-institute-for-health-and-clinical-excellence,256,31,0,all
Children Looked After,children-looked-after-england-2009,255,5,19,all
2011 expenses,2011-expenses,255,1,0,all
"Personal Social Services: Expenditure and Unit Costs, England 2011-12 provisional release",personal-social-services-expenditure-and-unit-costs-england-2011-12-provisional-release,255,132,135,all
2011 skills for life survey small area estimation datasets,2011-skills-for-life-survey-anonymised-dataset,255,114,80,all
Guardianship under the Mental Health Act 1983 - England 2012,guardianship-under-the-mental-health-act-1983-england-2012,255,166,31,all
Communities and Local Government group spending data 2013/2014,communities-and-local-government-group-spending-data-2013-2014,255,25,54,all
Further Education and Sixth Form College Accounts,further-education-and-sixth-form-college-accounts,255,93,107,all
Canmore: the National Monuments Record of Scotland,canmore-the-national-monuments-record-of-scotland,255,119,0,all
Statistics on Smoking Cessation Services in Northern Ireland,statistics_on_smoking_cessation_services_in_northern_ireland,255,175,0,all
Apprenticeships in England: Annual Data,apprenticeships-in-england-annual-data,255,17,11,all
Otterburn Firing Programme,otterburn_firing_programme_mod,254,45,0,all
Food and Environment Research Agency Organogram,fera_organogram_2011,254,23,71,all
Her Majesty’s Courts and Tribunals Service (HMCTS) Performance Database,her-majestys-courts-and-tribunals-service-hmcts-performance-database,254,186,0,all
Wales Trunk Road and Motorway Network,wales-trunk-road-and-motorway-network1,254,90,0,all
Payments made by the Coal Authority,financial-transaction-data-coal-authority,254,63,207,all
Social Services Performance Assessment Framework Indicators,social_services_performance_assessment_framework_indicators,254,111,0,all
The Pensions Regulator - Spend over £25k,tpr-monthly-spend,254,40,22,all
Scottish Vacant and Derelict Land Survey,scottish_vacant_and_derelict_land_survey,254,136,33,all
Smooth snake population dynamics,smooth-snake-population-dynamics,254,155,0,all
Annual Population Survey - Occupation group,annual_population_survey_-_occupation_group,254,134,0,all
GIS Dataset of UK Air Quality Management Areas,gis-dataset-of-uk-air-quality-management-areas,253,116,0,all
Pontbren rain gauge data,pontbren-rain-gauge-data,253,109,0,all
Biosphere Reserves,biosphere-reserves,253,124,0,all
Job Centre vacancies,job_centre_vacancies,253,54,0,all
"Department of Health Ministerial gifts, hospitality, overseas travel and meetings with external organisations (including meetings with media proprietors, editors and senior executives.",dept-of-health-ministers-meetings-2010-onwards,253,67,119,all
Fires attended by the fire and rescue service,fires_attended_by_the_fire_and_rescue_service,253,15,0,all
Compendium of Motorcycling Statistics,compendium_of_motorcycling_statistics,252,68,0,all
Registration Districts: geographical names and codes,registration_districts_-_geographical_names_and_codes,252,133,0,all
Sunderland Job Centre Plus,sunderland-job-centre-plus,252,185,0,all
Department for Transport business plan quarterly data summary (QDS),dft-business-plan-qds,252,122,25,all
Crimes detected in England and Wales,crimes-dectected-england-wales,252,37,66,all
Workforce Jobs,workforce_jobs,252,25,21,all
Bed availability and occupancy,bed_availability_and_occupancy,252,121,10,all
Quality Controlled Daily and Monthly Raingauge Data from Environment Agency Gauges (AfA148),quality-controlled-daily-and-monthly-raingauge-data-from-environment-agency-gauges-afa148,252,157,0,all
Location of dental surgeries,location_of_dental_surgeries,252,36,12,all
Eastleigh Borough Council Section 106 Agreements - INPSIRE dataset,eastleigh-borough-council-section-106-agreements-inpsire-dataset,252,30,36,all
National Minimum Dataset for Social Care (NMDS-SC),nmdssc,252,136,39,all
Local authority districts (UK) 2012 Names and Codes,local-authority-districts-uk-2012-names-and-codes,252,75,10,all
Forestry Commission Wales WOODLAND GRANT SCHEME 3,forestry-commission-wales-woodland-grant-scheme-31,251,183,0,all
Life Expectancy: Healthy and Disability-Free Years for wards,life_expectancy_-_healthy_and_disability-free_years_for_wards,251,123,12,all
Directgov central site - hottest pages,directgov-central-hottest-pages-monthly,251,71,0,all
Homicide in Scotland,homicide_in_scotland,251,142,0,all
NI 104 - The Special Educational Needs (SEN)/non-SEN gap achieving Key Stage 2 English and Maths threshold,ni-104-the-special-educational-needs-gap-achieving-ks2-english-and-maths-threshold,251,181,0,all
Annual Population Survey - Unemployment of people from non-white ethnic groups,annual_population_survey_-_unemployment_of_people_from_non-white_ethnic_groups,251,116,0,all
GP Earnings and Expenses 2009/10,gp-earnings-and-expenses-2009-10,251,83,199,all
Pupil attainment by Ethnic Group: GCE/VCE A/AS,pupil_attainment_by_ethnic_group_-_gce-vce_a-as,250,141,23,all
Tax Benefit Model Tables,tax_benefit_model_tables,250,126,0,all
NHS Dental Statistics for England: 2010-11,nhs-dental-statistics-for-england-2010-11-2011-12,250,62,37,all
Northern Ireland Residential Property Price Index,northern_ireland_residential_property_price_index,250,171,0,all
United Kingdom Economic Accounts,united_kingdom_economic_accounts,250,64,23,all
Schools achieving Key Stage 2 (KS2) Level 4 English target,schools_achieving_key_stage_2_ks2_level_4_english_target,250,210,0,all
London NHS Healthcare Associated Infections (HCAI) performance report,london-nhs-hcai-performance-report,250,106,11,all
Organogram and staff pay data for Tate,staff-organograms-and-pay-tate-2011-2012,250,51,43,all
"National Diabetes Inpatient Audit, Open data - 2011",national-diabetes-inpatient-audit-open-data-2011,250,82,49,all
Court locations,court-locations,250,14,83,all
Defra Transparency Panel,defra-transparency-panel,249,87,44,all
Alcohol Profile:  Binge drinking (synthetic estimate),alcohol_profile_-_binge_drinking_synthetic_estimate,249,125,0,all
NI 029 - Gun crime rate,ni-029-gun-crime-rate,249,25,0,all
"Department of Health Special Advisers gifts, hospitality and meetings with media proprietors, editors and senior executives.",dept-of-health-spads-gift-hospitality-2010-onwards,249,124,0,all
Immigration Statistics: detention,immigration-statistics-detention,249,93,10,all
Northern Ireland Railways NIR Railway Network (Metadata),northern-ireland-railways-nir-railway-network-metadata,249,103,0,all
Vehicle Licensing Statistics Great Britain,vehicle_licensing_statistics_great_britain,249,37,0,all
General Pharmaceutical Services,general_pharmaceutical_services,249,105,15,all
UK food hygiene rating data (Northern Ireland) - Food Standards Agency,uk-food-hygiene-rating-data-northern-ireland-food-standards-agency,249,106,46,all
Census 2011,census_2011,249,83,14,all
Travelpac,travelpac,248,88,70,all
Mental Health Bulletin,mental_health_bulletin,248,34,46,all
Occupational Pension Scheme Survey annual report,occupational_pension_scheme_survey_annual_report,248,136,39,all
Welsh Health Survey,welsh_health_survey,248,138,15,all
Child and Working Tax Credits - Provisional Awards,child-and-working-tax-credits-provisional-awards,248,144,0,all
Pupil Attainment for pupils with Special Educational Needs (SEN) by gender,pupil_attainment_for_pupils_with_special_educational_needs_sen_by_gender,248,151,25,all
"Participation in Education, Training and Employment by 16-18 Year Olds in England",participation_in_education_training_and_employment_by_16-18_year_olds_in_england,248,87,295,all
Output in the Construction Industry,output_in_the_construction_industry,248,74,61,all
"Spend over £25,000 in the Royal Botanic Gardens, Kew",financial-transactions-data-kew,247,101,131,all
British Behaviour Abroad,britishbehaviourabroad,247,28,74,all
Bristol Floating Harbour bacteriological water quality,bristol-floating-harbour-bacteriological-water-quality,247,66,0,all
Organogram and staff pay data for Government Equalities Office,staff-organograms-and-pay-government-equalities-office,247,71,29,all
Organogram and staff pay data for the Parole Board,staff-organograms-and-pay-parole-board,247,140,10,all
Primary Care Trust Prescribing Data,primary_care_trust_prescribing_data,247,37,45,all
Age and limiting long-term illness by NS-SeC,age_and_limiting_long-term_illness_by_ns-sec,246,121,0,all
Operation of police powers under the Terrorism Act 2000 and subsequent legislation: outcomes and stops & searches Great Britain,statistics-terrorism-arrests-outcomes,246,62,94,all
Iraq Polling data,iraq-polling-data,246,46,75,all
"Higher Education Statistics: Full-time academic staff in all UK institutions by location of institution, gender, prinicipal source of salary and clinical status",hesa-full-time-academic-staff-institution-location-gender-source-of-salary-clinical-status,246,130,10,all
Adventure Activities Licensing Authority (AALA) register of licence holders.,adventure-activities-licensing-authority-aala-register-of-licence-holders,246,229,0,all
"Spend over £25,000 in London Ambulance Service NHS Trust",financial-transactions-data-londonambulance,246,35,117,all
LPS OSNI Orthophotography (Metadata),lps-osni-orthophotography-metadata,246,108,0,all
Licensed gambling premises,licensed-gambling-premises,246,89,70,all
Home Office Annual Report,uk-home-office-annual-report-2009,245,102,51,all
Spend over £500 in East Sussex Healthcare NHS Trust,financial-transactions-data-east-sussex-healthcare-nhs-trust,245,76,130,all
Children entering detention held solely under Immigration Act powers,children-detention-immigration-act-powers,245,139,27,all
Arrests by ethnicity,arrests_by_ethnicity,245,103,0,all
Acute Hospital Activity and NHS Beds information,acute_hospital_activity_and_nhs_beds_information,245,144,25,all
London Quality Outcomes Framework (QOF) Depression Scores,london-quality-outcomes-framework-depression-scores,245,140,10,all
International comparative performance of the UK research base,international-comparative-performance-uk-research-base,245,145,20,all
Organogram and staff pay data for Health Protection Agency,staff-organograms-and-pay-health-protection-agency,244,77,72,all
Conservation Areas,conservation-areas4,244,11,0,all
Dwelling type  (2001 Census),dwelling_type_2001_census,244,127,0,all
Road transport fuels consumption at local authority level,road_transport_fuels_consumption_at_local_authority_level,244,117,10,all
Stroke and Transient Ischaemic Attack (TIA) PCT Performance Data from VSMR,stroke_and_transient_ischaemic_attack_tia_pct_performance_data_from_vsmr,244,144,0,all
Renewable Energy Zone,renewable-energy-zone,244,76,0,all
DCMS live data on electricty and gas consumption,dcms-energy-consumption,244,70,0,all
"One-in, one-out: statement of new regulation",one-in-one-out-statement-of-new-regulation,244,94,87,all
Register of Licence Holders issued by the SIA,register-of-licence-holders-issued-by-the-sia,244,160,0,all
Weekly Provisional Figures on Deaths Registered in England and Wales,weekly_provisional_figures_on_deaths_registered_in_england_and_wales,243,117,43,all
Children in Care in Northern Ireland Statistical Bulletin,children_in_care_in_northern_ireland_statistical_bulletin,243,181,0,all
Access to Work Official Statistics,access_to_work_official_statistics,243,175,0,all
Libraries,warwickshire-libraries,243,138,0,all
Motor vehicle production,motor_vehicle_production,243,37,26,all
NI 120a - All-age all cause mortality rate - Female,ni-120a-all-age-all-cause-mortality-female,243,175,0,all
"Children Accommodated in Secure Children's Homes, England and Wales",children_accommodated_in_secure_childrens_homes_england_and_wales,243,130,32,all
"Spend over £25,000 in The Christie NHS Foundation Trust",financial-transactions-data-christie-nhs-foundation-trust,243,32,118,all
National Population Projections,national_population_projections,243,54,0,all
Business Register Employment Survey,business_register_employment_survey,243,87,24,all
Payments to suppliers over £500 from Buckinghamshire County Council 2012-2014,payments-to-suppliers-over-500-from-buckinghamshire-county-council-2012-2013,242,37,302,all
Household composition by tenure and occupancy rating,household_composition_by_tenure_and_occupancy_rating,242,165,0,all
Destinations of Key Stage 4 and Key Stage 5 pupils,destinations_of_key_stage_4_and_key_stage_5_pupils,242,81,36,all
End of Foundation Phase Outcomes and National Curriculum Teacher Assessment of Core Subjects at Key Stages 2 and 3,end_of_foundation_phase_outcomes_and_national_curriculum_teacher_assessment_of_core_subjects_at_key_,242,199,0,all
Independent school inspections and outcomes,independent_school_inspections_and_outcomes,242,17,12,all
Ammonia emissions from agriculture,ammonia-emissions-from-agriculture,241,80,0,all
Aqueducts,aqueducts,241,8,0,all
NI 050 - Emotional health of children,ni-050-emotional-health-of-children,241,57,0,all
Young Persons Behaviour and Attitudes Survey,young_persons_behaviour_and_attitudes_survey,241,69,10,all
Senior civil servant expenses and hospitality - Department for Education,deptarment-for-education-senior-civil-servant-expenses-and-hospitality,240,33,14,all
Government Art Collection,government-art-collection,240,85,53,all
UK food hygiene rating data (Scotland) - Food Standards Agency,uk-food-hygiene-rating-data-scotland-food-standards-agency,240,77,74,all
Domestic Energy Performance Certificate Register,domestic-energy-performance-certificate-register,240,81,0,all
Youth Justice Statistics,youth_justice_statistics,240,33,72,all
Labour Force Survey Historical Supplement,labour_force_survey_historical_supplement,240,138,0,all
NHS Smoking Cessation Service Statistics (Scotland),nhs_smoking_cessation_service_statistics_scotland,240,162,15,all
IDIOM,idiom,240,168,0,all
Impact of the Recession on the Labour Market,impact_of_the_recession_on_the_labour_market,240,121,0,all
Organogram and staff pay data for The National Gallery,staff-organograms-and-pay-national-gallery,240,100,24,all
National Patient Choice Survey,national_patient_choice_survey,240,167,0,all
Primary Care Organisation to Strategic Health Area: Lookup Table,primary_care_organisation_to_strategic_health_area_-_lookup_table,240,109,33,all
Pupil attainment at Key Stage 2 by Gender (referenced by location of educational institution),pupil_attainment_at_key_stage_2_by_gender_referenced_by_location_of_educational_institution,240,142,11,all
Yorkshire Dales National Park Authority,payments-to-suppliers-500,239,16,34,all
Land Registry Property Gazetteer,land-registry-property-gazetteer,239,43,0,all
National Population Database,national-population-database2,239,15,25,all
Social Incubator Fund Data - BGV,sifbgv,239,45,12,all
Organogram and staff pay data for National Lottery Commission,staff-organograms-and-pay-national-lottery-commission,239,122,0,all
Waste Data Interrogator ,waste-data-interrogator-afa230,239,128,0,all
Statistics from the Northern Ireland Drug Misuse Database,statistics_from_the_northern_ireland_drug_misuse_database,239,166,0,all
Schools achieving Key Stage 3 (KS3) Level 5 English target,schools_achieving_key_stage_3_ks3_level_5_english_target,239,189,0,all
"Transactions Over £25,000 - Ofsted Spend Data",ofsted-spend-data,239,26,93,all
Climatological Data for Agricultural Land Classification,climatological-data-for-agricultural-land-classification,239,48,0,all
"Spend over £25,000 in Norfolk Community Health and Care NHS Trust",spend-over-25000-nhs-norfolk-community,239,24,32,all
"Children In Need in England, including their characteristics and further information on children who were the subject of a child protection plan (2009-10 Children in Need census, Final)",children-in-needin-england-including-characteristics-2009-10,238,92,25,all
Acute and Non-Acute Delayed Transfers of Care: monthly situation reports,acute_and_non-acute_delayed_transfers_of_care-monthly_situation_reports,238,128,0,all
"Academic Achievement by Pupil Characteristics, Wales",academic_achievement_by_pupil_characteristics_wales,238,117,0,all
Pupils eligible for Free School Meals,warwickshire-pupils-eligible-for-free-school-meals,238,84,23,all
"Ministers' quarterly returns on gifts, hospitality and media meetings",ministerial-quarterly-returns-in-the-department-for-education,238,22,57,all
Deaths from smoking,deaths_from_smoking,238,114,0,all
Water Framework Directive - Transitional Waterbodies,water-framework-directive-transitional-waterbodies1,238,119,0,all
Household Projections for Wales,household_projections_for_wales,238,155,25,all
Self employment rates,self_employment_rates,237,107,0,all
Revenue-based Taxes and Benefits: Personal Tax Credits,revenue-based_taxes_and_benefits-personal_tax_credits,237,117,37,all
The Casemix Service - classifications that are used by the English NHS to describe healthcare activity,the-casemix-service-classifications-that-are-used-by-the-english-nhs-to-describe-healthcare-activi,237,104,100,all
Sheffield City Council Parks and Countryside Service Sites,sheffield-city-council-parks-and-countryside-service-sites,237,74,0,all
Home insulation levels in Great Britain,home_insulation_levels_in_great_britain,237,104,0,all
"The BGS Collection Of Geologist's Field Notebooks, Section Books and Field Record Cards.",the-bgs-collection-of-geologists-field-notebooks-section-books-and-field-record-cards,237,178,0,all
Local Authority Further Education and Skills,local-authority-further-education-and-skills,236,49,31,all
"Provisional Monthly Hospital Episode Statistics for Admitted patient care, Outpatient and Accident and Emergency data",provisional_monthly_hospital_episode_statistics_for_admitted_patient_care_outpatient_and_accident_an,236,97,15,all
Public Spending Statistics,public_spending_statistics,236,21,49,all
Public Bodies 2012,public-bodies-2012,236,85,105,all
Councillors Allowances,councillors-allowances,236,115,44,all
Key pollutant concentrations,key_pollutant_concentrations,236,3,11,all
National Statistics 2001 Super Output Area (SOA) classification,national_statistics_2001_super_output_area_soa_classification,235,120,0,all
CCG Indicators,ccg_indicators,235,48,44,all
"NHS Dental Services, Wales",nhs_dental_services_wales,235,144,10,all
Water Framework Directive - River Basin Districts,water-framework-directive-river-basin-districts1,235,85,0,all
Marriages in England and Wales (provisional),marriages_in_england_and_wales_provisional,235,9,23,all
Sunderland Car Parks,sunderland-car-parks,235,104,10,all
Water Framework Directive - River Basin Districts (WMS),water-framework-directive-river-basin-districts-wms,235,99,0,all
Central Government Websites 2009/10,central-government-websites-2009-10,235,109,33,all
Level 2 and 3 attainment by young people in England,level_2_and_3_attainment_by_young_people_in_england,234,107,13,all
"Purchase orders over £10,000 from Ordnance Survey",purchase-orders-over-10000-ordnance-survey,234,50,47,all
Gypsy and Traveller Caravan Count,gypsy_and_traveller_caravan_count,234,99,0,all
"Spend over £25,000 in Animal Health and Veterinary Laboratories Agency",financial-transactions-data-animal-health-and-veterinary-laboratories-agency,234,91,146,all
Battlefields,battlefields,234,10,0,all
NI 121 - Mortality from all circulatory diseases at ages under 75,ni_121_-_mortality_from_all_circulatory_diseases_at_ages_under_75,234,115,0,all
National Comparators for Further Education and Work-based Learning,national_comparators_for_further_education_and_work-based_learning,234,154,0,all
Payments to suppliers with a value over £500 from Wigan Metropolitan Borough County,local-authority-spending-over-500-wigan,234,108,0,all
Canal Network Junction Points,canal-network-junction-points,234,51,0,all
UK Vehicles Database,uk-vehicles-database,233,4,0,all
Jobseekers Allowance  (JSA) claimants,jobseekers_allowance_jsa_claimants,233,28,32,all
Land Cover Map 2007 (1km Raster GB Dominant Target Class) Web Map Service,land-cover-map-2007-1km-raster-gb-dominant-target-class-web-map-service,233,62,0,all
Mean House Prices (Land Registry),mean-house-prices-land-registry,233,8,21,all
NI 152 - Working age people on out-of-work benefits,ni_152_-_working_age_people_on_out-of-work_benefits,233,147,0,all
Number of rooms by household  (2001 Census),number_of_rooms_by_household_2001_census,233,136,0,all
HM Treasury workforce management information 2013,hm-treasury-workforce-management-information,233,66,47,all
NI 141 Percentage of vulnerable people achieving independent living,ni_141_percentage_of_vulnerable_people_achieving_independent_living,233,169,0,all
Central Feed-in Tariff register statistics,central_feed-in_tariff_register_statistics,233,128,52,all
"Road Accidents, Scotland",road_accidents_scotland,232,33,0,all
Maritime Statistics,maritime_statistics,232,110,0,all
Local Authority Population Projections for Wales,local_authority_population_projections_for_wales,232,140,0,all
Administrative spend over £500 in UK Trade and Investment,financial-transactions-data-ukti-administrative-spend,232,113,11,all
MRC Spend of £25k or more,mrc-25k-spend-or-more,232,25,69,all
Organogram and staff pay data for NICE,staff-organograms-and-pay-nice,232,62,44,all
Organogram and staff pay data for Joint Nature Conservation Committee,staff-organograms-and-pay-jncc,232,56,26,all
Expenditure on Healthcare in the UK,expenditure_on_healthcare_in_the_uk,232,86,21,all
Parental Leave (EU Directive) Regulations 2013: impact assessment,parental-leave-regulations-2013-impact-assessment,232,154,14,all
Deaths during or following police contact statistics for England and Wales,deaths-during-following-police-contact-statistics,232,105,36,all
Public Protection Unit Database (PPUD),public-protection-unit-database-ppud,231,188,0,all
CAP Scheme Payments including the Single Payment Scheme (SPS) made to UK beneficiaries 2008,cap-uk-payments-2008,231,115,0,all
Sunderland Flood Risk Zones,sunderland-flood-risk-zones,231,67,0,all
Cancer incidence and mortality,cancer_incidence_and_mortality,231,28,38,all
Organogram and staff pay data for Child Maintenance and Enforcement Commission,staff-organograms-and-pay-child-maintenance-and-enforcement-commission,231,18,32,all
Outcomes for Looked After Children,outcomes_for_looked_after_children,230,156,0,all
Article 4 Areas,article-4-areas,230,16,0,all
Behaviour in Schools in England,behaviour_in_schools_in_england,230,87,0,all
Pupil Characteristics and Class Sizes in Maintained Schools in England,pupil_characteristics_and_class_sizes_in_maintained_schools_in_england,230,113,0,all
VAT Factsheet,vat_factsheet,230,79,0,all
English Business Survey,english_business_survey,230,21,14,all
Education and Training in England,education-and-training-in-england,230,6,28,all
Tree Preservation Orders,tree-preservation-orders1,230,39,0,all
Mean House Prices - Land Registry (Quarterly),mean-house-prices-land-registry-quarterly,230,94,37,all
Pupil attainment at Key Stage 3 by IDACI,pupil_attainment_at_key_stage_3_by_idaci,230,152,0,all
Air quality: Sulphur Dioxide (SO2) concentrations,air_quality_-_sulphur_dioxide_so2_concentrations,230,155,0,all
Method of travel to work - Resident population (2001 Census),method_of_travel_to_work_-_resident_population_2001_census,229,75,12,all
Pupil attainment at GCSE by key pupil characteristics,pupil_attainment_at_gcse_by_key_pupil_characteristics,229,71,0,all
BGS Bedrock and Superficial geology (OGC WxS),bgs-bedrock-and-superficial-geology-ogc-wxs,229,47,0,all
Dental Earnings and Expenses - Scotland - Experimental Statistics,dental-earnings-and-expenses-scotland-experimental-statistics,229,141,0,all
Welsh Index of Multiple Deprivation Summary,welsh_index_of_multiple_deprivation_summary,229,147,0,all
HMIC review of anti-social behaviour in England and Wales,anti-social-behaviour-survey-hmic,229,43,24,all
Hospital beds in NHS institutions,hospital_beds_in_nhs_institutions_,229,68,10,all
Methane emissions from agriculture,methane-emissions-from-agriculture,229,118,0,all
"Young People not in Education, Employment or Training (NEET)",young_people_not_in_education_employment_or_training_neet,228,95,0,all
"Spend over £25,000 in the Central Office of Information",financial-transactions-data-co-coi,228,71,27,all
Flood Warning Areas,flood-warning-areas,228,36,34,all
Workplace zones (E+W) 2011 Population Weighted Centroids,workplace-zones-ew-2011-population-weighted-centroids,228,61,73,all
Organogram for Gambling Commission,staff-organograms-and-pay-gambling-commission,228,54,47,all
"Mental Capacity Act 2005, Deprivation of Liberty Safeguards Assessments (England)",mental_capacity_act_2005_deprivation_of_liberty_safeguards_assessments_england,228,109,56,all
Defra live data page for energy consumption,defra-head-office-energy-consumption,228,32,0,all
"1:1.5M scale 'Geology Through Climate Change' Poster Map Covering UK Mainland, Northern Ireland and Eire.",1-1-5m-scale-geology-through-climate-change-poster-map-covering-uk-mainland-northern-ireland-an,227,147,0,all
Annual Population Survey - Working age population by disability,annual_population_survey_-_working_age_population_by_disability,227,73,0,all
Indicators on breastfeeding and smoking,indicators_on_breastfeeding_and_smoking,227,118,0,all
Organogram and staff pay data for Export Credits Guarantee Department,staff-organograms-and-pay-ecgd,227,60,27,all
Woodland Grant Scheme 1,woodland-grant-scheme-1,227,142,379,all
International Migration,international_migration,227,4,11,all
Telecommunications market data tables,telecommunications-market-data-tables,227,90,0,all
"Abuse of Vulnerable Adults in England - October 2009 - March 2010, Experimental Statistics",abuse-of-vulnerable-adults-in-england-october-2009-march-2010-experimental-statistics,227,110,11,all
Focus on Consumer Prices,focus_on_consumer_prices,227,129,0,all
"Statistics on Drug Misuse: England, 2011",statistics-on-drug-misuse-england-2011,227,68,25,all
Stop Smoking Services (SSS): Successful quitters,stop_smoking_services_sss_-_successful_quitters,227,158,12,all
Opencast Coal Site Maps,opencast-coal-site-maps,227,94,0,all
Scottish Health Survey,scottish_health_survey,227,126,0,all
National Child Measurement Programme,national-child-measurement-programme-england-2009-10-school-year,226,77,39,all
Children Looked After by Local Authorities in England,children_looked_after_by_local_authorities_in_england,226,56,345,all
Homelessness - Acceptances and households accommodated by Local Authority (LA),homelessness_-_acceptances_and_households_accommodated_by_local_authority_la,226,128,58,all
Disability: Adults with physical disability helped to live at home,disability_-_adults_with_physical_disability_helped_to_live_at_home,226,88,0,all
"Abuse of Vulnerable Adults in England, 2010-11 Provisional, Experimental Statistics",abuse-of-vulnerable-adults-in-england-2010-11-provisional-experimental-statistics,226,45,15,all
"Personal Social Services Adult Social Care Survey, England - Final 2010-11",personal-social-services-adult-social-care-survey-england-final-2010-2011,226,110,32,all
Regional climate values for Maximum Temperature,regional-climate-values-for-maximum-temperature,226,45,10,all
Coal Authority Borehole Log Data.,coal-authority-borehole-log-data,226,118,0,all
"Statistics on Drug Misuse, England",statistics_on_drug_misuse_england,226,47,42,all
Spend over £25k: DCMS,spend-over-25k-dcms,226,17,25,all
BIS economics paper no. 10a: manufacturing in the UK: an economic analysis of the sector ,bis-economics-paper-10a-manufacturing-in-uk,226,103,0,all
Student Loans for Higher Education in England,student_loans_for_higher_education_in_england,225,105,28,all
Corruption in the police service England and Wales: second report - based on the IPCC's experience 2008-2011,corruption-report-police-england-wales,225,112,23,all
Annual report of incidents - Food Standards Agency,annual_report_of_incidents,225,92,11,all
Directgov Referring Sites,directgov-referring-sites,225,73,0,all
Quality & Outcomes Framework (QOF) of the new GMS Contract,quality_outcomes_framework_qof_of_the_new_gms_contract,225,148,0,all
Crop Yields and Production Estimates (Northern Ireland),crop_yields_and_production_estimates_northern_ireland,225,125,0,all
List of Ministers' Interests,ministers-interests,225,83,63,all
